Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
MONROE COUNTY HOSPITAL,010120,AL,READM-30-HF-HRRP,98,,0.9526,17.1621,18.0159,14,07/01/2013,06/30/2016
MONROE COUNTY HOSPITAL,010120,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
MONROE COUNTY HOSPITAL,010120,AL,READM-30-PN-HRRP,158,,1.1033,15.5416,14.0866,30,07/01/2013,06/30/2016
LAKELAND COMMUNITY HOSPITAL,010125,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
LAKELAND COMMUNITY HOSPITAL,010125,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
LAKELAND COMMUNITY HOSPITAL,010125,AL,READM-30-COPD-HRRP,210,,0.9239,14.9602,16.1922,26,07/01/2013,06/30/2016
LAKELAND COMMUNITY HOSPITAL,010125,AL,READM-30-HF-HRRP,Not Available,,0.9809,19.5642,19.9446,Too Few to Report,07/01/2013,06/30/2016
LAKELAND COMMUNITY HOSPITAL,010125,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
LAKELAND COMMUNITY HOSPITAL,010125,AL,READM-30-PN-HRRP,683,,0.7636,11.0450,14.4638,61,07/01/2013,06/30/2016
TROY REGIONAL MEDICAL CENTER,010126,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
TROY REGIONAL MEDICAL CENTER,010126,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
TROY REGIONAL MEDICAL CENTER,010126,AL,READM-30-COPD-HRRP,102,,1.0812,19.0084,17.5810,25,07/01/2013,06/30/2016
TROY REGIONAL MEDICAL CENTER,010126,AL,READM-30-HF-HRRP,101,,1.0691,21.7213,20.3176,26,07/01/2013,06/30/2016
TROY REGIONAL MEDICAL CENTER,010126,AL,READM-30-HIP-KNEE-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
TROY REGIONAL MEDICAL CENTER,010126,AL,READM-30-PN-HRRP,118,,0.9428,13.7630,14.5987,13,07/01/2013,06/30/2016
JACKSON MEDICAL CENTER,010128,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
JACKSON MEDICAL CENTER,010128,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
JACKSON MEDICAL CENTER,010128,AL,READM-30-COPD-HRRP,Not Available,,0.9322,13.4381,14.4152,Too Few to Report,07/01/2013,06/30/2016
JACKSON MEDICAL CENTER,010128,AL,READM-30-HF-HRRP,Not Available,,1.0065,15.9748,15.8716,Too Few to Report,07/01/2013,06/30/2016
JACKSON MEDICAL CENTER,010128,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
JACKSON MEDICAL CENTER,010128,AL,READM-30-PN-HRRP,Not Available,,0.9648,12.5838,13.0425,Too Few to Report,07/01/2013,06/30/2016
NORTH BALDWIN INFIRMARY,010129,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
NORTH BALDWIN INFIRMARY,010129,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
NORTH BALDWIN INFIRMARY,010129,AL,READM-30-COPD-HRRP,76,,1.0410,18.6045,17.8713,17,07/01/2013,06/30/2016
NORTH BALDWIN INFIRMARY,010129,AL,READM-30-HF-HRRP,65,,1.0571,22.4142,21.2039,18,07/01/2013,06/30/2016
NORTH BALDWIN INFIRMARY,010129,AL,READM-30-HIP-KNEE-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
NORTH BALDWIN INFIRMARY,010129,AL,READM-30-PN-HRRP,163,,1.0245,15.7350,15.3582,27,07/01/2013,06/30/2016
ST VINCENT'S ST CLAIR,010130,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ST VINCENT'S ST CLAIR,010130,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ST VINCENT'S ST CLAIR,010130,AL,READM-30-COPD-HRRP,121,,0.9307,17.4839,18.7862,16,07/01/2013,06/30/2016
ST VINCENT'S ST CLAIR,010130,AL,READM-30-HF-HRRP,126,,1.0063,21.9169,21.7802,28,07/01/2013,06/30/2016
ST VINCENT'S ST CLAIR,010130,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ST VINCENT'S ST CLAIR,010130,AL,READM-30-PN-HRRP,324,,1.0786,16.5914,15.3821,58,07/01/2013,06/30/2016
CRESTWOOD MEDICAL CENTER,010131,AL,READM-30-AMI-HRRP,197,,0.9809,14.8340,15.1225,28,07/01/2013,06/30/2016
CRESTWOOD MEDICAL CENTER,010131,AL,READM-30-CABG-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
CRESTWOOD MEDICAL CENTER,010131,AL,READM-30-COPD-HRRP,412,,1.0309,17.6831,17.1534,75,07/01/2013,06/30/2016
CRESTWOOD MEDICAL CENTER,010131,AL,READM-30-HF-HRRP,393,,1.1015,21.9106,19.8920,92,07/01/2013,06/30/2016
CRESTWOOD MEDICAL CENTER,010131,AL,READM-30-HIP-KNEE-HRRP,840,,1.2767,5.1685,4.0482,48,07/01/2013,06/30/2016
CRESTWOOD MEDICAL CENTER,010131,AL,READM-30-PN-HRRP,534,,1.0453,15.8258,15.1396,87,07/01/2013,06/30/2016
HILL HOSPITAL OF SUMTER COUNTY,010138,AL,READM-30-AMI-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
HILL HOSPITAL OF SUMTER COUNTY,010138,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ABRAZO MARYVALE CAMPUS,030001,AZ,READM-30-COPD-HRRP,44,,1.0585,22.0792,20.8596,14,07/01/2013,06/30/2016
HILL HOSPITAL OF SUMTER COUNTY,010138,AL,READM-30-COPD-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
HILL HOSPITAL OF SUMTER COUNTY,010138,AL,READM-30-HF-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
HILL HOSPITAL OF SUMTER COUNTY,010138,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
HILL HOSPITAL OF SUMTER COUNTY,010138,AL,READM-30-PN-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
BROOKWOOD BAPTIST MEDICAL CENTER,010139,AL,READM-30-AMI-HRRP,343,,1.0929,16.4118,15.0161,62,07/01/2013,06/30/2016
BROOKWOOD BAPTIST MEDICAL CENTER,010139,AL,READM-30-CABG-HRRP,181,,1.0929,13.5227,12.3731,27,07/01/2013,06/30/2016
BROOKWOOD BAPTIST MEDICAL CENTER,010139,AL,READM-30-COPD-HRRP,261,,1.0773,19.7779,18.3583,57,07/01/2013,06/30/2016
BROOKWOOD BAPTIST MEDICAL CENTER,010139,AL,READM-30-HF-HRRP,498,,0.9797,19.7249,20.1331,97,07/01/2013,06/30/2016
BROOKWOOD BAPTIST MEDICAL CENTER,010139,AL,READM-30-HIP-KNEE-HRRP,862,,1.1231,4.3897,3.9085,40,07/01/2013,06/30/2016
BROOKWOOD BAPTIST MEDICAL CENTER,010139,AL,READM-30-PN-HRRP,523,,1.0001,15.4865,15.4849,81,07/01/2013,06/30/2016
SPRINGHILL MEMORIAL HOSPITAL,010144,AL,READM-30-AMI-HRRP,165,,1.0483,14.5645,13.8933,27,07/01/2013,06/30/2016
SPRINGHILL MEMORIAL HOSPITAL,010144,AL,READM-30-CABG-HRRP,65,,1.0852,13.3517,12.3034,11,07/01/2013,06/30/2016
SPRINGHILL MEMORIAL HOSPITAL,010144,AL,READM-30-COPD-HRRP,361,,1.0169,19.6044,19.2794,72,07/01/2013,06/30/2016
SPRINGHILL MEMORIAL HOSPITAL,010144,AL,READM-30-HF-HRRP,494,,0.9725,20.1774,20.7473,98,07/01/2013,06/30/2016
SPRINGHILL MEMORIAL HOSPITAL,010144,AL,READM-30-HIP-KNEE-HRRP,Not Available,,0.9575,4.3430,4.5356,Too Few to Report,07/01/2013,06/30/2016
SPRINGHILL MEMORIAL HOSPITAL,010144,AL,READM-30-PN-HRRP,407,,1.1237,17.7829,15.8252,79,07/01/2013,06/30/2016
RMC JACKSONVILLE,010146,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
RMC JACKSONVILLE,010146,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
RMC JACKSONVILLE,010146,AL,READM-30-COPD-HRRP,Not Available,,0.9745,15.6660,16.0762,Too Few to Report,07/01/2013,06/30/2016
RMC JACKSONVILLE,010146,AL,READM-30-HF-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
RMC JACKSONVILLE,010146,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
RMC JACKSONVILLE,010146,AL,READM-30-PN-HRRP,74,,1.0300,15.3496,14.9021,13,07/01/2013,06/30/2016
EVERGREEN MEDICAL CENTER,010148,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
EVERGREEN MEDICAL CENTER,010148,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
EVERGREEN MEDICAL CENTER,010148,AL,READM-30-COPD-HRRP,267,,0.9776,15.5638,15.9211,40,07/01/2013,06/30/2016
EVERGREEN MEDICAL CENTER,010148,AL,READM-30-HF-HRRP,140,,0.9599,17.4089,18.1360,22,07/01/2013,06/30/2016
EVERGREEN MEDICAL CENTER,010148,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
EVERGREEN MEDICAL CENTER,010148,AL,READM-30-PN-HRRP,144,,1.0612,15.7607,14.8518,26,07/01/2013,06/30/2016
BAPTIST MEDICAL CENTER EAST,010149,AL,READM-30-AMI-HRRP,Not Available,,1.0179,18.6030,18.2753,Too Few to Report,07/01/2013,06/30/2016
BAPTIST MEDICAL CENTER EAST,010149,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
BAPTIST MEDICAL CENTER EAST,010149,AL,READM-30-COPD-HRRP,247,,0.9678,17.5434,18.1280,41,07/01/2013,06/30/2016
BAPTIST MEDICAL CENTER EAST,010149,AL,READM-30-HF-HRRP,335,,0.9586,20.4693,21.3533,66,07/01/2013,06/30/2016
BAPTIST MEDICAL CENTER EAST,010149,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
L V STABLER MEMORIAL HOSPITAL,010150,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
L V STABLER MEMORIAL HOSPITAL,010150,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
L V STABLER MEMORIAL HOSPITAL,010150,AL,READM-30-COPD-HRRP,Not Available,,0.9379,14.9701,15.9618,Too Few to Report,07/01/2013,06/30/2016
L V STABLER MEMORIAL HOSPITAL,010150,AL,READM-30-HF-HRRP,102,,0.9728,18.2567,18.7677,17,07/01/2013,06/30/2016
L V STABLER MEMORIAL HOSPITAL,010150,AL,READM-30-HIP-KNEE-HRRP,Not Available,,1.0219,4.5403,4.4429,Too Few to Report,07/01/2013,06/30/2016
L V STABLER MEMORIAL HOSPITAL,010150,AL,READM-30-PN-HRRP,72,,1.0173,13.9798,13.7413,11,07/01/2013,06/30/2016
SHOALS HOSPITAL,010157,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
SHOALS HOSPITAL,010157,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
SHOALS HOSPITAL,010157,AL,READM-30-COPD-HRRP,113,,1.0125,17.8054,17.5858,21,07/01/2013,06/30/2016
SHOALS HOSPITAL,010157,AL,READM-30-HF-HRRP,87,,1.0525,22.7949,21.6572,23,07/01/2013,06/30/2016
SHOALS HOSPITAL,010157,AL,READM-30-HIP-KNEE-HRRP,Not Available,,0.8883,3.5926,4.0445,Too Few to Report,07/01/2013,06/30/2016
SHOALS HOSPITAL,010157,AL,READM-30-PN-HRRP,173,,1.0204,16.1045,15.7819,29,07/01/2013,06/30/2016
RUSSELLVILLE HOSPITAL,010158,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
RUSSELLVILLE HOSPITAL,010158,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
RUSSELLVILLE HOSPITAL,010158,AL,READM-30-COPD-HRRP,167,,0.9543,16.3294,17.1120,24,07/01/2013,06/30/2016
RUSSELLVILLE HOSPITAL,010158,AL,READM-30-HF-HRRP,81,,1.0507,19.8260,18.8693,19,07/01/2013,06/30/2016
RUSSELLVILLE HOSPITAL,010158,AL,READM-30-HIP-KNEE-HRRP,Not Available,,1.0822,6.0577,5.5974,Too Few to Report,07/01/2013,06/30/2016
RUSSELLVILLE HOSPITAL,010158,AL,READM-30-PN-HRRP,240,,1.1105,17.1298,15.4259,47,07/01/2013,06/30/2016
COOSA VALLEY MEDICAL CENTER,010164,AL,READM-30-AMI-HRRP,Not Available,,0.9735,17.6651,18.1460,Too Few to Report,07/01/2013,06/30/2016
COOSA VALLEY MEDICAL CENTER,010164,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
COOSA VALLEY MEDICAL CENTER,010164,AL,READM-30-COPD-HRRP,144,,0.9139,15.4806,16.9389,16,07/01/2013,06/30/2016
COOSA VALLEY MEDICAL CENTER,010164,AL,READM-30-HF-HRRP,137,,0.9518,18.9372,19.8964,23,07/01/2013,06/30/2016
COOSA VALLEY MEDICAL CENTER,010164,AL,READM-30-HIP-KNEE-HRRP,Not Available,,1.2506,5.7914,4.6308,Too Few to Report,07/01/2013,06/30/2016
COOSA VALLEY MEDICAL CENTER,010164,AL,READM-30-PN-HRRP,303,,1.0749,16.1501,15.0242,53,07/01/2013,06/30/2016
JACK HUGHSTON MEMORIAL HOSPITAL,010168,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
JACK HUGHSTON MEMORIAL HOSPITAL,010168,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
JACK HUGHSTON MEMORIAL HOSPITAL,010168,AL,READM-30-COPD-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
JACK HUGHSTON MEMORIAL HOSPITAL,010168,AL,READM-30-HF-HRRP,Not Available,,1.0160,19.4614,19.1554,Too Few to Report,07/01/2013,06/30/2016
JACK HUGHSTON MEMORIAL HOSPITAL,010168,AL,READM-30-HIP-KNEE-HRRP,1421,,0.9766,3.9718,4.0670,56,07/01/2013,06/30/2016
JACK HUGHSTON MEMORIAL HOSPITAL,010168,AL,READM-30-PN-HRRP,Not Available,,0.9550,12.3066,12.8861,Too Few to Report,07/01/2013,06/30/2016
ATMORE COMMUNITY HOSPITAL,010169,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ATMORE COMMUNITY HOSPITAL,010169,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ATMORE COMMUNITY HOSPITAL,010169,AL,READM-30-COPD-HRRP,130,,1.0162,19.1145,18.8104,26,07/01/2013,06/30/2016
ATMORE COMMUNITY HOSPITAL,010169,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ATMORE COMMUNITY HOSPITAL,010169,AL,READM-30-PN-HRRP,125,,1.0218,18.2045,17.8156,24,07/01/2013,06/30/2016
NORTH ALABAMA SPECIALITY HOSPITAL,010172,AL,READM-30-AMI-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
NORTH ALABAMA SPECIALITY HOSPITAL,010172,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
NORTH ALABAMA SPECIALITY HOSPITAL,010172,AL,READM-30-COPD-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
NORTH ALABAMA SPECIALITY HOSPITAL,010172,AL,READM-30-HF-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
NORTH ALABAMA SPECIALITY HOSPITAL,010172,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
NORTH ALABAMA SPECIALITY HOSPITAL,010172,AL,READM-30-PN-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ST VINCENT'S CHILTON,010173,AL,READM-30-AMI-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ST VINCENT'S CHILTON,010173,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ST VINCENT'S CHILTON,010173,AL,READM-30-COPD-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ST VINCENT'S CHILTON,010173,AL,READM-30-HF-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ST VINCENT'S CHILTON,010173,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ST VINCENT'S CHILTON,010173,AL,READM-30-PN-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
PROVIDENCE ALASKA MEDICAL CENTER,020001,AK,READM-30-AMI-HRRP,411,,0.8971,12.8431,14.3155,46,07/01/2013,06/30/2016
PROVIDENCE ALASKA MEDICAL CENTER,020001,AK,READM-30-CABG-HRRP,118,,0.8939,12.0577,13.4884,11,07/01/2013,06/30/2016
PROVIDENCE ALASKA MEDICAL CENTER,020001,AK,READM-30-COPD-HRRP,254,,0.9381,17.5381,18.6961,40,07/01/2013,06/30/2016
PROVIDENCE ALASKA MEDICAL CENTER,020001,AK,READM-30-HF-HRRP,402,,0.8008,16.9490,21.1642,55,07/01/2013,06/30/2016
PROVIDENCE ALASKA MEDICAL CENTER,020001,AK,READM-30-HIP-KNEE-HRRP,556,,0.8929,3.4345,3.8466,17,07/01/2013,06/30/2016
PROVIDENCE ALASKA MEDICAL CENTER,020001,AK,READM-30-PN-HRRP,414,,0.8625,14.0740,16.3172,50,07/01/2013,06/30/2016
MAT-SU REGIONAL MEDICAL CENTER,020006,AK,READM-30-AMI-HRRP,Not Available,,1.0165,12.7062,12.5005,Too Few to Report,07/01/2013,06/30/2016
MAT-SU REGIONAL MEDICAL CENTER,020006,AK,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
MAT-SU REGIONAL MEDICAL CENTER,020006,AK,READM-30-COPD-HRRP,188,,0.9493,17.3912,18.3193,29,07/01/2013,06/30/2016
MAT-SU REGIONAL MEDICAL CENTER,020006,AK,READM-30-HF-HRRP,122,,0.9881,21.0925,21.3475,25,07/01/2013,06/30/2016
MAT-SU REGIONAL MEDICAL CENTER,020006,AK,READM-30-HIP-KNEE-HRRP,Not Available,,1.0992,3.8656,3.5169,Too Few to Report,07/01/2013,06/30/2016
MAT-SU REGIONAL MEDICAL CENTER,020006,AK,READM-30-PN-HRRP,299,,0.9937,15.8366,15.9365,47,07/01/2013,06/30/2016
BARTLETT REGIONAL HOSPITAL,020008,AK,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
BARTLETT REGIONAL HOSPITAL,020008,AK,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
BARTLETT REGIONAL HOSPITAL,020008,AK,READM-30-COPD-HRRP,Not Available,,0.9474,15.2100,16.0551,Too Few to Report,07/01/2013,06/30/2016
BARTLETT REGIONAL HOSPITAL,020008,AK,READM-30-HF-HRRP,Not Available,,1.0344,18.6151,17.9955,Too Few to Report,07/01/2013,06/30/2016
BARTLETT REGIONAL HOSPITAL,020008,AK,READM-30-HIP-KNEE-HRRP,Not Available,,0.8765,2.8264,3.2247,Too Few to Report,07/01/2013,06/30/2016
BARTLETT REGIONAL HOSPITAL,020008,AK,READM-30-PN-HRRP,Not Available,,1.0057,12.6080,12.5372,Too Few to Report,07/01/2013,06/30/2016
FAIRBANKS MEMORIAL HOSPITAL,020012,AK,READM-30-AMI-HRRP,Not Available,,0.9390,12.5150,13.3278,Too Few to Report,07/01/2013,06/30/2016
FAIRBANKS MEMORIAL HOSPITAL,020012,AK,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
FAIRBANKS MEMORIAL HOSPITAL,020012,AK,READM-30-COPD-HRRP,96,,0.9881,15.4346,15.6209,14,07/01/2013,06/30/2016
FAIRBANKS MEMORIAL HOSPITAL,020012,AK,READM-30-HF-HRRP,Not Available,,0.8817,16.6490,18.8833,Too Few to Report,07/01/2013,06/30/2016
FAIRBANKS MEMORIAL HOSPITAL,020012,AK,READM-30-HIP-KNEE-HRRP,Not Available,,0.8790,3.2735,3.7239,Too Few to Report,07/01/2013,06/30/2016
FAIRBANKS MEMORIAL HOSPITAL,020012,AK,READM-30-PN-HRRP,123,,0.9196,13.4674,14.6449,12,07/01/2013,06/30/2016
ALASKA REGIONAL HOSPITAL,020017,AK,READM-30-AMI-HRRP,145,,0.9798,13.9914,14.2803,19,07/01/2013,06/30/2016
ALASKA REGIONAL HOSPITAL,020017,AK,READM-30-CABG-HRRP,Not Available,,1.0030,13.2924,13.2522,Too Few to Report,07/01/2013,06/30/2016
ALASKA REGIONAL HOSPITAL,020017,AK,READM-30-COPD-HRRP,76,,1.0576,19.6660,18.5952,19,07/01/2013,06/30/2016
ALASKA REGIONAL HOSPITAL,020017,AK,READM-30-HF-HRRP,107,,0.9278,20.1686,21.7372,17,07/01/2013,06/30/2016
ALASKA REGIONAL HOSPITAL,020017,AK,READM-30-HIP-KNEE-HRRP,608,,0.9764,3.8557,3.9489,23,07/01/2013,06/30/2016
ALASKA REGIONAL HOSPITAL,020017,AK,READM-30-PN-HRRP,110,,0.9769,15.7538,16.1268,16,07/01/2013,06/30/2016
YUKON KUSKOKWIM DELTA REG HOSPITAL,020018,AK,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
YUKON KUSKOKWIM DELTA REG HOSPITAL,020018,AK,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
YUKON KUSKOKWIM DELTA REG HOSPITAL,020018,AK,READM-30-COPD-HRRP,Not Available,,0.9545,15.6465,16.3919,Too Few to Report,07/01/2013,06/30/2016
YUKON KUSKOKWIM DELTA REG HOSPITAL,020018,AK,READM-30-HF-HRRP,Not Available,,0.9729,19.4366,19.9770,Too Few to Report,07/01/2013,06/30/2016
YUKON KUSKOKWIM DELTA REG HOSPITAL,020018,AK,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
YUKON KUSKOKWIM DELTA REG HOSPITAL,020018,AK,READM-30-PN-HRRP,Not Available,,0.8946,13.2736,14.8378,Too Few to Report,07/01/2013,06/30/2016
CENTRAL PENINSULA GENERAL HOSPITAL,020024,AK,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
CENTRAL PENINSULA GENERAL HOSPITAL,020024,AK,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
CENTRAL PENINSULA GENERAL HOSPITAL,020024,AK,READM-30-COPD-HRRP,106,,1.0020,18.7319,18.6943,20,07/01/2013,06/30/2016
CENTRAL PENINSULA GENERAL HOSPITAL,020024,AK,READM-30-HF-HRRP,110,,1.0864,21.7957,20.0630,29,07/01/2013,06/30/2016
CENTRAL PENINSULA GENERAL HOSPITAL,020024,AK,READM-30-HIP-KNEE-HRRP,166,,1.3101,5.3763,4.1037,14,07/01/2013,06/30/2016
CENTRAL PENINSULA GENERAL HOSPITAL,020024,AK,READM-30-PN-HRRP,183,,1.0127,14.9170,14.7304,28,07/01/2013,06/30/2016
ALASKA NATIVE MEDICAL CENTER,020026,AK,READM-30-AMI-HRRP,Not Available,,0.9669,15.9456,16.4919,Too Few to Report,07/01/2013,06/30/2016
ALASKA NATIVE MEDICAL CENTER,020026,AK,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ALASKA NATIVE MEDICAL CENTER,020026,AK,READM-30-COPD-HRRP,114,,0.9370,18.1513,19.3716,16,07/01/2013,06/30/2016
ALASKA NATIVE MEDICAL CENTER,020026,AK,READM-30-HF-HRRP,89,,1.0661,22.5330,21.1351,24,07/01/2013,06/30/2016
ALASKA NATIVE MEDICAL CENTER,020026,AK,READM-30-HIP-KNEE-HRRP,Not Available,,0.9210,3.4569,3.7534,Too Few to Report,07/01/2013,06/30/2016
ALASKA NATIVE MEDICAL CENTER,020026,AK,READM-30-PN-HRRP,222,,0.9942,15.9118,16.0041,35,07/01/2013,06/30/2016
ABRAZO MARYVALE CAMPUS,030001,AZ,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ABRAZO MARYVALE CAMPUS,030001,AZ,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ABRAZO MARYVALE CAMPUS,030001,AZ,READM-30-HF-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ABRAZO MARYVALE CAMPUS,030001,AZ,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ABRAZO MARYVALE CAMPUS,030001,AZ,READM-30-PN-HRRP,Not Available,,0.9537,16.4638,17.2624,Too Few to Report,07/01/2013,06/30/2016
